serial,time_raw,dong,temp,humi,uv,dt,hour,date,tr_est,v,utci_val,lat,lon,address
V02Q1940156,2025-07-28_00:07:00,Majang-dong,33.1,71.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.1,1.5,36.8,37.566674857,127.045521513,서울특별시 성동구 마장로46길 12-19
V02Q1940258,2025-07-28_00:07:00,Wangsimni2(i)-dong,32.4,74.0,0.0,2025-07-28 00:07:00,0,2025-07-28,32.4,1.5,36.2,37.562998002,127.028435382,서울특별시 성동구 왕십리로31나길 23
V02Q1940261,2025-07-28_00:07:00,Seongsu1ga2(i)-dong,33.2,71.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.2,1.5,36.9,37.549808841,127.049770229,서울특별시 성동구 상원10길 17
V02Q1940286,2025-07-28_00:07:00,Wangsimni2(i)-dong,31.9,76.0,0.0,2025-07-28 00:07:00,0,2025-07-28,31.9,1.5,35.7,37.562166194,127.026682312,서울측별시 성동구 하왕십리동 1052-1
V02Q1940441,2025-07-28_00:07:00,Haengdang1(il)-dong,32.7,71.0,0.0,2025-07-28 00:07:00,0,2025-07-28,32.7,1.5,36.1,37.558352332,127.037694516,서울측별시 성동구 행당동 134-9
V02Q1940473,2025-07-28_00:07:00,Geumho-1(il)-dong,32.6,73.0,0.0,2025-07-28 00:07:00,0,2025-07-28,32.6,1.5,36.3,37.556839663,127.019950184,서울특별시 성동구 금호로16길 2
V02Q1940501,2025-07-28_00:07:00,Eungbong-dong,33.4,69.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.4,1.5,36.9,37.552003424,127.036324364,서울특별시 성동구 고산자로2길 10-4
V02Q1940530,2025-07-28_00:07:00,Seongsu1ga1(il)-dong,33.2,72.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.2,1.5,37.1,37.542144186,127.047751758,서울특별시 성동구 성수일로3길 7
V02Q1940545,2025-07-28_00:07:00,Seongsu1ga2(i)-dong,33.0,71.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.0,1.5,36.6,37.546306095,127.043661494,서울특별시 성동구 서울숲2길 46
V02Q1940556,2025-07-28_00:07:00,Seongsu2ga1(il)-dong,32.8,75.0,0.0,2025-07-28 00:07:00,0,2025-07-28,32.8,1.5,37.1,37.540241557,127.054675329,서울특별시 성동구 성수이로7길 11
V02Q1940565,2025-07-28_00:07:00,Seongsu2ga1(il)-dong,32.8,72.0,0.0,2025-07-28 00:07:00,0,2025-07-28,32.8,1.5,36.5,37.541950115,127.053612431,서울특별시 성동구 성수이로7길 34
V02Q1940580,2025-07-28_00:07:00,Yongdap-dong,33.3,71.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.3,1.5,37.1,37.56518716,127.05111116,서울특별시 성동구 용답중앙11길 2
V02Q1940588,2025-07-28_00:07:00,Sageun-dong,33.0,72.0,0.0,2025-07-28 00:07:00,0,2025-07-28,33.0,1.5,36.8,37.55810867,127.050859556,서울측별시 성동구 사근동 110
V02Q1940623,2025-07-28_00:07:00,Majang-dong,32.9,72.0,0.0,2025-07-28 00:07:00,0,2025-07-28,32.9,1.5,36.6,37.563719858,127.039492971,서울특별시 성동구 마조로15길 20
