serial,dt,date,hour,dong,lat,lon,temp,humi,v,tr_v3,utci_v3,utci_cat
V02Q1940156,2025-07-28 00:07:00,2025-07-28,0,Majang-dong,37.566674857,127.045521513,33.1,71.0,1.3833333333333335,33.1,36.9,strong_heat
V02Q1940258,2025-07-28 00:07:00,2025-07-28,0,Wangsimni2(i)-dong,37.562998002,127.028435382,32.4,74.0,1.3833333333333335,32.4,36.3,strong_heat
V02Q1940261,2025-07-28 00:07:00,2025-07-28,0,Seongsu1ga2(i)-dong,37.549808841,127.049770229,33.2,71.0,1.3833333333333335,33.2,37.0,strong_heat
V02Q1940286,2025-07-28 00:07:00,2025-07-28,0,Wangsimni2(i)-dong,37.562166194,127.026682312,31.9,76.0,1.3833333333333335,31.9,35.8,strong_heat
V02Q1940441,2025-07-28 00:07:00,2025-07-28,0,Haengdang1(il)-dong,37.558352332,127.037694516,32.7,71.0,1.3833333333333335,32.7,36.2,strong_heat
V02Q1940473,2025-07-28 00:07:00,2025-07-28,0,Geumho-1(il)-dong,37.556839663,127.019950184,32.6,73.0,1.3833333333333335,32.6,36.4,strong_heat
V02Q1940501,2025-07-28 00:07:00,2025-07-28,0,Eungbong-dong,37.552003424,127.036324364,33.4,69.0,1.3833333333333335,33.4,37.0,strong_heat
V02Q1940530,2025-07-28 00:07:00,2025-07-28,0,Seongsu1ga1(il)-dong,37.542144186,127.047751758,33.2,72.0,1.3833333333333335,33.2,37.2,strong_heat
V02Q1940545,2025-07-28 00:07:00,2025-07-28,0,Seongsu1ga2(i)-dong,37.546306095,127.043661494,33.0,71.0,1.3833333333333335,33.0,36.7,strong_heat
V02Q1940556,2025-07-28 00:07:00,2025-07-28,0,Seongsu2ga1(il)-dong,37.540241557,127.054675329,32.8,75.0,1.3833333333333335,32.8,37.1,strong_heat
V02Q1940565,2025-07-28 00:07:00,2025-07-28,0,Seongsu2ga1(il)-dong,37.541950115,127.053612431,32.8,72.0,1.3833333333333335,32.8,36.5,strong_heat
V02Q1940580,2025-07-28 00:07:00,2025-07-28,0,Yongdap-dong,37.56518716,127.05111116,33.3,71.0,1.3833333333333335,33.3,37.2,strong_heat
V02Q1940588,2025-07-28 00:07:00,2025-07-28,0,Sageun-dong,37.55810867,127.050859556,33.0,72.0,1.3833333333333335,33.0,36.9,strong_heat
V02Q1940623,2025-07-28 00:07:00,2025-07-28,0,Majang-dong,37.563719858,127.039492971,32.9,72.0,1.3833333333333335,32.9,36.7,strong_heat
V02Q1940617,2025-07-28 00:07:00,2025-07-28,0,Oksu-dong,37.541972102,127.016370616,32.9,72.0,1.3833333333333335,32.9,36.7,strong_heat
V02Q1940615,2025-07-28 00:07:00,2025-07-28,0,Geumho-1(il)-dong,37.557838543,127.024148057,32.9,73.0,1.3833333333333335,32.9,36.9,strong_heat
V02Q1940632,2025-07-28 00:07:00,2025-07-28,0,Wangsimni-doSeondong,37.564964319,127.03447479,33.1,70.0,1.3833333333333335,33.1,36.7,strong_heat
V02Q1940627,2025-07-28 00:07:00,2025-07-28,0,Songjeong-dong,37.551819341,127.067379627,33.7,69.0,1.3833333333333335,33.7,37.5,strong_heat
V02Q1940628,2025-07-28 00:07:00,2025-07-28,0,Majang-dong,37.568356828,127.040528854,33.2,72.0,1.3833333333333335,33.2,37.2,strong_heat
V02Q1940670,2025-07-28 00:07:00,2025-07-28,0,Seongsu1ga1(il)-dong,37.539279182,127.049873167,33.3,72.0,1.3833333333333335,33.3,37.4,strong_heat
V02Q1940761,2025-07-28 00:07:00,2025-07-28,0,Majang-dong,37.564052441,127.044424399,32.2,75.0,1.3833333333333335,32.2,36.1,strong_heat
V02Q1940786,2025-07-28 00:07:00,2025-07-28,0,Seongsu1ga1(il)-dong,37.542101542,127.049671321,32.5,74.0,1.3833333333333335,32.5,36.4,strong_heat
V02Q1940842,2025-07-28 00:07:00,2025-07-28,0,Eungbong-dong,37.55214248,127.03558479,33.1,72.0,1.3833333333333335,33.1,37.0,strong_heat
V02Q1940828,2025-07-28 00:07:00,2025-07-28,0,Sageun-dong,37.561332045,127.039688831,33.3,70.0,1.3833333333333335,33.3,37.0,strong_heat
V02Q1940868,2025-07-28 00:07:00,2025-07-28,0,Yongdap-dong,37.560512835,127.052853492,34.1,68.0,1.3833333333333335,34.1,37.9,strong_heat
V02Q1940871,2025-07-28 00:07:00,2025-07-28,0,Majang-dong,37.57114665,127.037105979,33.5,72.0,1.3833333333333335,33.5,37.7,strong_heat
OC3CL200256,2025-07-28 01:07:00,2025-07-28,1,Majang-dong,37.5716201595004,127.036088628704,28.9,61.0,1.5166666666666666,28.9,29.6,moderate_heat
V02Q1940594,2025-07-28 01:07:00,2025-07-28,1,Seongsu2ga3(sam)-dong,37.549231792,127.053877502,33.5,69.0,1.5166666666666666,33.5,37.0,strong_heat
V02Q1940639,2025-07-28 01:07:00,2025-07-28,1,Eungbong-dong,37.54966889,127.03182637,33.2,71.0,1.5166666666666666,33.2,36.9,strong_heat
V02Q1940563,2025-07-28 01:07:00,2025-07-28,1,Wangsimni-doSeondong,37.564129832,127.031439736,33.0,70.0,1.5166666666666666,33.0,36.4,strong_heat
V02Q1940628,2025-07-28 01:07:00,2025-07-28,1,Majang-dong,37.568356828,127.040528854,33.0,72.0,1.5166666666666666,33.0,36.8,strong_heat
V02Q1940623,2025-07-28 01:07:00,2025-07-28,1,Majang-dong,37.563719858,127.039492971,32.8,72.0,1.5166666666666666,32.8,36.5,strong_heat
V02Q1940112,2025-07-28 01:07:00,2025-07-28,1,Songjeong-dong,37.556514509,127.071193511,33.6,66.0,1.5166666666666666,33.6,36.7,strong_heat
V02Q1940828,2025-07-28 01:07:00,2025-07-28,1,Sageun-dong,37.561332045,127.039688831,33.0,71.0,1.5166666666666666,33.0,36.6,strong_heat
V02Q1940603,2025-07-28 01:07:00,2025-07-28,1,Yongdap-dong,37.563368336,127.055964397,33.0,72.0,1.5166666666666666,33.0,36.8,strong_heat
V02Q1940670,2025-07-28 01:07:00,2025-07-28,1,Seongsu1ga1(il)-dong,37.539279182,127.049873167,32.9,73.0,1.5166666666666666,32.9,36.8,strong_heat
V02Q1940607,2025-07-28 01:07:00,2025-07-28,1,Sageun-dong,37.55887111,127.038552736,32.4,74.0,1.5166666666666666,32.4,36.2,strong_heat
V02Q1940644,2025-07-28 01:07:00,2025-07-28,1,Haengdang1(il)-dong,37.561197184,127.034602965,32.7,72.0,1.5166666666666666,32.7,36.3,strong_heat
V02Q1940263,2025-07-28 01:07:00,2025-07-28,1,Yongdap-dong,37.560874377,127.062747282,32.6,70.0,1.5166666666666666,32.6,35.8,strong_heat
V02Q1940588,2025-07-28 01:07:00,2025-07-28,1,Sageun-dong,37.55810867,127.050859556,32.5,73.0,1.5166666666666666,32.5,36.1,strong_heat
V02Q1940496,2025-07-28 01:07:00,2025-07-28,1,Seongsu2ga1(il)-dong,37.538775645,127.059760733,33.7,69.0,1.5166666666666666,33.7,37.4,strong_heat
